,Ano,cnae_secao,Entrada,Nascimento,Reentrada,Saída de atividade,Sobrevivente,Total de empresas ativas
131,2018,"Transporte, armazenagem e correio",32731.0,24165.0,8566.0,40002.0,184621.0,217352.0
132,2018,Alojamento e alimentação,43654.0,36055.0,7599.0,55716.0,248592.0,292246.0
133,2018,Informação e comunicação,29015.0,21412.0,7603.0,27338.0,110529.0,139544.0
134,2018,"Atividades financeiras, de seguros e serviços relacionados",22922.0,17628.0,5294.0,15236.0,75296.0,98218.0
135,2018,Atividades imobiliárias,20225.0,14730.0,5495.0,14512.0,76702.0,96927.0
136,2018,"Atividades profissionais, científicas e técnicas",68251.0,54036.0,14215.0,49842.0,247484.0,315735.0
137,2018,Atividades administrativas e serviços complementares,56542.0,43553.0,12989.0,53311.0,234175.0,290717.0
138,2018,"Administração pública, defesa e seguridade social",31.0,23.0,8.0,32.0,139.0,170.0
139,2018,Educação,17265.0,13697.0,3568.0,14580.0,89674.0,106939.0
140,2018,Saúde humana e serviços sociais,44758.0,38279.0,6479.0,21013.0,174736.0,219494.0
141,2018,"Artes, cultura, esporte e recreação",11677.0,9390.0,2287.0,9801.0,41061.0,52738.0
142,2018,Outras atividades de serviços,16004.0,12192.0,3812.0,19259.0,78997.0,95001.0
143,2018,tal,697079.0,536020.0,161059.0,762940.0,3695792.0,4392871.0
144,2018,Organismos internacionais e outras instituições extraterritoriais,,,,,1.0,1.0
145,2019,"Agricultura, pecuária, produção florestal, pesca e aquicultura",9813.0,7529.0,2284.0,4096.0,29610.0,39423.0
146,2019,Indústrias extrativas,2171.0,1476.0,695.0,1162.0,8567.0,10738.0
147,2019,Indústrias de transformação,56019.0,41457.0,14562.0,49981.0,334359.0,390378.0
148,2019,Eletricidade e gás,2277.0,1832.0,445.0,182.0,2686.0,4963.0
149,2019,"Água, esgoto, atividades de gestão de resíduos e descontaminação",2059.0,1556.0,503.0,1541.0,9252.0,11311.0
150,2019,Construção,75421.0,55199.0,20222.0,40467.0,195182.0,270603.0
151,2019,Comércio; reparação de veículos automotores e motocicletas,287628.0,216412.0,71216.0,280574.0,1505821.0,1793449.0
152,2019,"Transporte, armazenagem e correio",41302.0,30026.0,11276.0,33817.0,183609.0,224911.0
153,2019,Alojamento e alimentação,51687.0,42974.0,8713.0,53128.0,238856.0,290543.0
154,2019,Informação e comunicação,41162.0,31946.0,9216.0,23330.0,115782.0,156944.0
155,2019,"Atividades financeiras, de seguros e serviços relacionados",44609.0,34547.0,10062.0,10400.0,87946.0,132555.0
156,2019,Atividades imobiliárias,40078.0,29339.0,10739.0,8441.0,90267.0,130345.0
157,2019,"Atividades profissionais, científicas e técnicas",102808.0,80583.0,22225.0,41420.0,274699.0,377507.0
158,2019,Atividades administrativas e serviços complementares,73949.0,57276.0,16673.0,47351.0,245354.0,319303.0
159,2019,"Administração pública, defesa e seguridade social",51.0,33.0,18.0,20.0,152.0,203.0
160,2019,Educação,21948.0,17561.0,4387.0,13861.0,93896.0,115844.0
161,2019,Saúde humana e serviços sociais,61633.0,50931.0,10702.0,17339.0,202847.0,264480.0
162,2019,"Artes, cultura, esporte e recreação",13802.0,11146.0,2656.0,9182.0,43472.0,57274.0
