,data_base,modalidade,porte,valor_deflacionado
124,2012-07-01,Veículos,Mais de 5 a 10 salários mínimos,38707629639.55371
125,2012-07-01,Veículos,Sem rendimento,30878177935.95819
126,2012-08-01,Cartão de crédito,Acima de 20 salários mínimos,224568671.51681826
127,2012-08-01,Cartão de crédito,Até 1 salário mínimo,126514817.52283387
128,2012-08-01,Cartão de crédito,Indisponível,3401.9819339566
129,2012-08-01,Cartão de crédito,Mais de 10 a 20 salários mínimos,294793519.90351975
130,2012-08-01,Cartão de crédito,Mais de 1 a 2 salários mínimos,212465977.98580396
131,2012-08-01,Cartão de crédito,Mais de 2 a 3 salários mínimos,183546932.0855909
132,2012-08-01,Cartão de crédito,Mais de 3 a 5 salários mínimos,283577918.68481755
133,2012-08-01,Cartão de crédito,Mais de 5 a 10 salários mínimos,403116137.3149876
134,2012-08-01,Cartão de crédito,Sem rendimento,276003976.30064327
135,2012-08-01,Empréstimo com consignação em folha,Acima de 20 salários mínimos,27355464894.002663
136,2012-08-01,Empréstimo com consignação em folha,Até 1 salário mínimo,25738215290.44798
137,2012-08-01,Empréstimo com consignação em folha,Indisponível,337030914.64301914
138,2012-08-01,Empréstimo com consignação em folha,Mais de 10 a 20 salários mínimos,28158725466.170483
139,2012-08-01,Empréstimo com consignação em folha,Mais de 1 a 2 salários mínimos,26738418259.67243
140,2012-08-01,Empréstimo com consignação em folha,Mais de 2 a 3 salários mínimos,20876469212.15348
141,2012-08-01,Empréstimo com consignação em folha,Mais de 3 a 5 salários mínimos,35275232023.19909
142,2012-08-01,Empréstimo com consignação em folha,Mais de 5 a 10 salários mínimos,42386710592.173004
143,2012-08-01,Empréstimo com consignação em folha,Sem rendimento,21748807873.175426
144,2012-08-01,Empréstimo sem consignação em folha,Acima de 20 salários mínimos,17150781463.543493
145,2012-08-01,Empréstimo sem consignação em folha,Até 1 salário mínimo,4572262214.701926
146,2012-08-01,Empréstimo sem consignação em folha,Indisponível,512033.1811688824
147,2012-08-01,Empréstimo sem consignação em folha,Mais de 10 a 20 salários mínimos,14243893688.909813
148,2012-08-01,Empréstimo sem consignação em folha,Mais de 1 a 2 salários mínimos,4877463016.543672
149,2012-08-01,Empréstimo sem consignação em folha,Mais de 2 a 3 salários mínimos,4774817372.023938
150,2012-08-01,Empréstimo sem consignação em folha,Mais de 3 a 5 salários mínimos,8911928123.570868
151,2012-08-01,Empréstimo sem consignação em folha,Mais de 5 a 10 salários mínimos,16317762590.673918
152,2012-08-01,Empréstimo sem consignação em folha,Sem rendimento,4515132192.886439
153,2012-08-01,Habitacional,Acima de 20 salários mínimos,72368131925.22733
154,2012-08-01,Habitacional,Até 1 salário mínimo,9610382915.858753
155,2012-08-01,Habitacional,Indisponível,1163219117.2371643
156,2012-08-01,Habitacional,Mais de 10 a 20 salários mínimos,74030712985.34338
157,2012-08-01,Habitacional,Mais de 1 a 2 salários mínimos,30450037171.409748
158,2012-08-01,Habitacional,Mais de 2 a 3 salários mínimos,50681058682.27718
159,2012-08-01,Habitacional,Mais de 3 a 5 salários mínimos,62740067220.94474
160,2012-08-01,Habitacional,Mais de 5 a 10 salários mínimos,72444446085.92697
161,2012-08-01,Habitacional,Sem rendimento,1999265532.857002
162,2012-08-01,Outros créditos,Acima de 20 salários mínimos,14030617087.128134
163,2012-08-01,Outros créditos,Até 1 salário mínimo,2820375346.8247743
164,2012-08-01,Outros créditos,Indisponível,22822826.59498482
165,2012-08-01,Outros créditos,Mais de 10 a 20 salários mínimos,8116682781.114352
166,2012-08-01,Outros créditos,Mais de 1 a 2 salários mínimos,4072198863.889491
167,2012-08-01,Outros créditos,Mais de 2 a 3 salários mínimos,3895420097.2176027
168,2012-08-01,Outros créditos,Mais de 3 a 5 salários mínimos,5976744481.933241
169,2012-08-01,Outros créditos,Mais de 5 a 10 salários mínimos,8833938122.548418
170,2012-08-01,Outros créditos,Sem rendimento,2533551729.502923
171,2012-08-01,Rural e agroindustrial,Acima de 20 salários mínimos,45633859792.41557
172,2012-08-01,Rural e agroindustrial,Até 1 salário mínimo,3321736438.401732
173,2012-08-01,Rural e agroindustrial,Indisponível,1170931079.9676335
174,2012-08-01,Rural e agroindustrial,Mais de 10 a 20 salários mínimos,10961426761.848972
