,data_base,modalidade,numero_de_operacoes
425,2017-06,Rural e agroindustrial,3671609
426,2017-06,Veículos,9759207
427,2017-07,Cartão de crédito,191384639
428,2017-07,Empréstimo com consignação em folha,51911795
429,2017-07,Empréstimo sem consignação em folha,23696677
430,2017-07,Habitacional,5655074
431,2017-07,Outros créditos,39982051
432,2017-07,Rural e agroindustrial,3506647
433,2017-07,Veículos,9705985
434,2017-08,Cartão de crédito,192306218
435,2017-08,Empréstimo com consignação em folha,51931192
436,2017-08,Empréstimo sem consignação em folha,23754542
437,2017-08,Habitacional,5688424
438,2017-08,Outros créditos,39971086
439,2017-08,Rural e agroindustrial,3547151
440,2017-08,Veículos,9658419
441,2017-09,Cartão de crédito,191981762
442,2017-09,Empréstimo com consignação em folha,51789733
443,2017-09,Empréstimo sem consignação em folha,23520946
444,2017-09,Habitacional,5709679
445,2017-09,Outros créditos,39415639
446,2017-09,Rural e agroindustrial,3587374
447,2017-09,Veículos,9633543
448,2017-10,Cartão de crédito,191729211
449,2017-10,Empréstimo com consignação em folha,51782032
450,2017-10,Empréstimo sem consignação em folha,23560031
451,2017-10,Habitacional,5716878
452,2017-10,Outros créditos,40092547
453,2017-10,Rural e agroindustrial,3606767
454,2017-10,Veículos,9605174
455,2017-11,Cartão de crédito,182794244
456,2017-11,Empréstimo com consignação em folha,51676346
457,2017-11,Empréstimo sem consignação em folha,23160054
458,2017-11,Habitacional,5736603
459,2017-11,Outros créditos,39690568
460,2017-11,Rural e agroindustrial,3622106
461,2017-11,Veículos,9591102
462,2017-12,Cartão de crédito,186808920
463,2017-12,Empréstimo com consignação em folha,51392070
464,2017-12,Empréstimo sem consignação em folha,21366132
465,2017-12,Habitacional,5754350
466,2017-12,Outros créditos,38693490
467,2017-12,Rural e agroindustrial,3647594
468,2017-12,Veículos,9530294
469,2018-01,Cartão de crédito,186878645
470,2018-01,Empréstimo com consignação em folha,51872205
471,2018-01,Empréstimo sem consignação em folha,21439377
472,2018-01,Habitacional,5775254
473,2018-01,Outros créditos,39826566
474,2018-01,Rural e agroindustrial,3651345
475,2018-01,Veículos,9529113
476,2018-02,Cartão de crédito,186319557
477,2018-02,Empréstimo com consignação em folha,51912623
478,2018-02,Empréstimo sem consignação em folha,21687957
479,2018-02,Habitacional,5802268
480,2018-02,Outros créditos,40226374
481,2018-02,Rural e agroindustrial,3616412
482,2018-02,Veículos,9529601
483,2018-03,Cartão de crédito,186336509
484,2018-03,Empréstimo com consignação em folha,52030153
485,2018-03,Empréstimo sem consignação em folha,22141393
486,2018-03,Habitacional,5827794
487,2018-03,Outros créditos,40043832
488,2018-03,Rural e agroindustrial,3574442
489,2018-03,Veículos,9518585
490,2018-04,Cartão de crédito,188196589
491,2018-04,Empréstimo com consignação em folha,51936318
