,ano,cnae_secao,Estado,Valor,ativo_problematico_deflacionado,ativo_problematico/pop
192,2019,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ACRE,830026.0,73716.01265389826,0.08881169102401401
193,2019,Alojamento e alimentação,ACRE,830026.0,6216524.801206072,7.489554304571269
194,2019,"Artes, cultura, esporte e recreação",ACRE,830026.0,282473.45157083176,0.3403187991350051
195,2019,Atividades administrativas e serviços complementares,ACRE,830026.0,8325488.472559027,10.030394797944917
196,2019,"Atividades financeiras, de seguros e serviços relacionados",ACRE,830026.0,1027052.1248763776,1.237373437550604
197,2019,Atividades imobiliárias,ACRE,830026.0,745038.0502531659,0.8976080872805983
198,2019,"Atividades profissionais, científicas e técnicas",ACRE,830026.0,1990413.2707947874,2.3980131595814917
199,2019,Comércio; reparação de veículos automotores e motocicletas,ACRE,830026.0,53531687.32275607,64.4939885289811
200,2019,Construção,ACRE,830026.0,64857429.939094976,78.13903412555146
201,2019,Educação,ACRE,830026.0,1779344.4773751574,2.1437213742402736
202,2019,Eletricidade e gás,ACRE,830026.0,0.0,0.0
203,2019,Indústrias de transformação,ACRE,830026.0,5292805.466624169,6.37667430493041
204,2019,Indústrias extrativas,ACRE,830026.0,95086.26836635228,0.11455818054657599
205,2019,Informação e comunicação,ACRE,830026.0,998932.1809194589,1.2034950482508486
206,2019,Outras atividades de serviços,ACRE,830026.0,832738.3542088497,1.0032677942725285
207,2019,Saúde humana e serviços sociais,ACRE,830026.0,1595304.5822762966,1.9219935065603928
208,2019,Serviços domésticos,ACRE,830026.0,0.0,0.0
209,2019,"Transporte, armazenagem e correio",ACRE,830026.0,1327153.2402394812,1.5989297205623454
210,2019,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ACRE,830026.0,57856.23677595426,0.06970412586588162
219,2020,"Administração pública, defesa e seguridade social",ACRE,830026.0,484770698.7444452,584.0427875083976
220,2020,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ACRE,830026.0,278502.1912749589,0.3355342980520597
221,2020,Alojamento e alimentação,ACRE,830026.0,11290096.109912487,13.60209934377054
222,2020,"Artes, cultura, esporte e recreação",ACRE,830026.0,1069441.3619633475,1.288443207758971
223,2020,Atividades administrativas e serviços complementares,ACRE,830026.0,4382088.485694206,5.279459300906486
224,2020,"Atividades financeiras, de seguros e serviços relacionados",ACRE,830026.0,5043976.557837339,6.076889829761163
225,2020,Atividades imobiliárias,ACRE,830026.0,561019.2005857619,0.6759055747479741
226,2020,"Atividades profissionais, científicas e técnicas",ACRE,830026.0,8145748.3115116395,9.813847170464106
227,2020,Comércio; reparação de veículos automotores e motocicletas,ACRE,830026.0,52743136.97722175,63.54395763171485
228,2020,Construção,ACRE,830026.0,54036407.76675768,65.10206640124247
229,2020,Educação,ACRE,830026.0,2491740.7378195575,3.0020032358258146
230,2020,Eletricidade e gás,ACRE,830026.0,0.0,0.0
231,2020,Indústrias de transformação,ACRE,830026.0,3849892.8549643536,4.6382798309502995
232,2020,Indústrias extrativas,ACRE,830026.0,48097.23483343828,0.057946660506343506
233,2020,Informação e comunicação,ACRE,830026.0,604471.6036404492,0.7282562276849752
234,2020,Outras atividades de serviços,ACRE,830026.0,1150831.2083762041,1.3865001920135083
235,2020,Saúde humana e serviços sociais,ACRE,830026.0,2056365.2949235847,2.477470940577265
236,2020,Serviços domésticos,ACRE,830026.0,0.0,0.0
237,2020,"Transporte, armazenagem e correio",ACRE,830026.0,2449494.917011682,2.9511062509026007
