,titular_1,titular_parceiros1,titular_parceiros2,titular_abv,titular_uf1,Regiao,class_int1,IPC1,IPC2,Area
2112,IMUNOSCAN ENGENHARIA MOLECULAR LTDA,UNIVERSIDADE FEDERAL DE UBERLÂNDIA ? UFU,,,MG,Sudeste,C07K 7/08,C07K,7/08,Biotecnologia
2113,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UFU,MG,Sudeste,C07K 7/08,C07K,7/08,Biotecnologia
2114,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,A61K 39/008,A61K,39/008,Produtos farmacêuticos
2115,UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,UFMG,MG,Sudeste,C07K 14/44,C07K,14/44,Biotecnologia
2116,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,A23L 29/25,A23L,29/25,Química Alimentar
2117,UNIVERSIDADE FEDERAL DE OURO PRETO - UFOP,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,UFOP,MG,Sudeste,B23G 5/06,B23G,5/06,Máquina operatriz
2118,UNIVERSIDADE FEDERAL DE ALAGOAS,,,UFAL,AL,Nordeste,A01N 31/02,A01N,31/02,Química de materiais básicos
2119,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,C12N 1/02,C12N,1/02,Biotecnologia
2120,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS,,,UFSCAR,SP,Sudeste,C12M 1/34,C12M,1/34,Biotecnologia
2121,FUNDAÇÃO UNIVERSIDADE DE BRASILIA,,,UNB,DF,Centro-Oeste,C09D 167/08,C09D,167/08,Química de materiais básicos
2122,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,A61K 8/9789,A61K/8,8/9789,Química fina orgânica
2123,UNIVERSIDADE FEDERAL DE PELOTAS,,,UFPEL,RS,Sul,A61K 8/72,A61K/8,8/72,Química fina orgânica
2124,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,Sul,C12H 1/02,C12H,1/02,Química Alimentar
2125,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,C09B 61/00,C09B,61/00,Química de materiais básicos
2126,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A21D 13/043,A21D,13/043,Química Alimentar
2127,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,A23C 9/133,A23C,9/133,Química Alimentar
2128,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNIVERSIDADE FEDERAL DO PARANÁ,UFSC,SC,Sul,A61K 9/51,A61K,9/51,Produtos farmacêuticos
2129,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,G01N 33/86,G01N/33,33/86,Análise de materiais biológicos
2130,CENTRO TECNOLÓGICO DO EXÉRCITO,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,,RJ,Sudeste,B32B 27/38,B32B,27/38,"Tecnologia de superfície, revestimento"
2131,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,,,UFMT,MT,Centro-Oeste,A61K 36/185,A61K,36/185,Produtos farmacêuticos
2132,UNIVERSIDADE FEDERAL DO PARANA,,,UFPR,PR,Sul,C12P 1/00,C12P,1/00,Biotecnologia
2133,UNIVERSIDADE FEDERAL DO PARANA,,,UFPR,PR,Sul,H01L 51/42,H01L,51/42,Semicondutores
2134,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,B29C 48/00,B29C,48/00,Outras máquinas especiais
2135,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,,UFRN,RN,Nordeste,C02F 1/46,C02F,1/46,Tecnologia Ambiental
2136,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,G06Q 50/06,G06Q,50/06,Métodos de TI para gerenciamento
2137,UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,UFPE,PE,Nordeste,A23P 10/30,A23P,10/30,Outras máquinas especiais
2138,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,,UFMG,MG,Sudeste,C07K 14/435,C07K,14/435,Biotecnologia
2139,INSTITUTO FEDERAL DO PARANÁ,,,IFPR,PR,Sul,B65F 1/14,B65F,1/14,Tecnologia Ambiental
2140,UNIVERSIDADE FEDERAL DE JUIZ DE FORA - UFJF,,,UFJF,MG,Sudeste,A41D 13/11,A41D,13/11,Outros bens de consumo
2141,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB,,,UFCG,PB,Nordeste,C12C 11/00,C12C,11/00,Química Alimentar
2142,FUNDAÇÃO UNIVERSIDADE DE BRASILIA,,,UNB,DF,Centro-Oeste,A61K 9/107,A61K,9/107,Produtos farmacêuticos
2143,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UNIVERSIDADE ESTADUAL DE CAMPINAS,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,UFU,MG,Sudeste,A61K 9/127,A61K,9/127,Produtos farmacêuticos
2144,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,C25B 1/04,C25B,1/04,"Tecnologia de superfície, revestimento"
2145,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,Nordeste,C12N 1/12,C12N,1/12,Biotecnologia
2146,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,,,UFMS,MS,Centro-Oeste,A23L 27/14,A23L,27/14,Química Alimentar
2147,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,IMUNOSCAN ENGENHARIA MOLECULAR LTDA,,UFU,MG,Sudeste,G01N 21/35,G01N,21/35,Medição
