Municipio;valor_2013;valor_2014;valor_2015;valor_2016;valor_2017;valor_2018;valor_2019;valor_2020;valor_2021;valor_2022;valor_Total;valor2_2013;valor2_2014;valor2_2015;valor2_2016;valor2_2017;valor2_2018;valor2_2019;valor2_2020;valor2_2021;valor2_2022;valor2_Total;valor3_2013;valor3_2014;valor3_2015;valor3_2016;valor3_2017;valor3_2018;valor3_2019;valor3_2020;valor3_2021;valor3_2022;valor3_Total;valor4_2013;valor4_2014;valor4_2015;valor4_2016;valor4_2017;valor4_2018;valor4_2019;valor4_2020;valor4_2021;valor4_2022;valor4_Total;valor5_2013;valor5_2014;valor5_2015;valor5_2016;valor5_2017;valor5_2018;valor5_2019;valor5_2020;valor5_2021;valor5_2022;valor5_Total;AIH_2013;AIH_2014;AIH_2015;AIH_2016;AIH_2017;AIH_2018;AIH_2019;AIH_2020;AIH_2021;AIH_2022;AIH_Total;AIH1_2013;AIH1_2014;AIH1_2015;AIH1_2016;AIH1_2017;AIH1_2018;AIH1_2019;AIH1_2020;AIH1_2021;AIH1_2022;AIH1_Total;AIH2_2013;AIH2_2014;AIH2_2015;AIH2_2016;AIH2_2017;AIH2_2018;AIH2_2019;AIH2_2020;AIH2_2021;AIH2_2022;AIH2_Total;AIH3_2013;AIH3_2014;AIH3_2015;AIH3_2016;AIH3_2017;AIH3_2018;AIH3_2019;AIH3_2020;AIH3_2021;AIH3_2022;AIH3_Total;AIH4_2013;AIH4_2014;AIH4_2015;AIH4_2016;AIH4_2017;AIH4_2018;AIH4_2019;AIH4_2020;AIH4_2021;AIH4_2022;AIH4_Total;AIH5_2013;AIH5_2014;AIH5_2015;AIH5_2016;AIH5_2017;AIH5_2018;AIH5_2019;AIH5_2020;AIH5_2021;AIH5_2022;AIH5_Total;obito_2013;obito_2014;obito_2015;obito_2016;obito_2017;obito_2018;obito_2019;obito_2020;obito_2021;obito_2022;obito_Total;mortalidade_2013;mortalidade_2014;mortalidade_2015;mortalidade_2016;mortalidade_2017;mortalidade_2018;mortalidade_2019;mortalidade_2020;mortalidade_2021;mortalidade_2022;mortalidade_Total;dias_2013;dias_2014;dias_2015;dias_2016;dias_2017;dias_2018;dias_2019;dias_2020;dias_2021;dias_2022;dias_Total
410490 CASTRO;2685379.15;1780457.12;275108.09;725474.55;1172477.11;1640799.81;2949402.15;2841931.95;3519767.09;3540060.31;21130857.33;;;;;;85.69;;;;;85.69;1939555.74;1261820.71;275108.09;504247.56;716058.1;986998.59;1948376.48;1812756.83;2469049.26;2251726.7;14165698.06;745823.41;518636.41;;221226.99;456419.01;653715.53;1001025.67;1029175.12;1050717.83;1288333.61;6965073.58;;;;;;;;;;;;3461;2689;1188;1931;2766;3378;3908;3220;3269;3305;29115;;;;;;1;;;;;1;;;;;;1;;;;;1;2410;1891;1188;1560;1988;2247;2559;1876;1870;1711;19300;1051;798;;371;778;1130;1349;1344;1399;1594;9814;;;;;;;;;;;;169;129;40;37;36;85;197;160;247;157;1257;4.88;4.8;3.37;1.92;1.3;2.52;5.04;4.97;7.56;4.75;4.32;12057;8380;3051;5001;7005;9592;13957;11973;13696;11871;96583
410500 CATANDUVAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410510 CENTENARIO DO SUL;89342.07;85002.2;64722.19;64589.13;83784.14;101576.73;96450.43;84773.58;147637.75;95496.67;913374.89;;;;;;;;;;;;89342.07;85002.2;64722.19;64589.13;83784.14;101576.73;96450.43;84773.58;147637.75;95496.67;913374.89;;;;;;;;;;;;;;;;;;;;;;;237;241;202;195;225;261;263;237;230;242;2333;;;;;;;;;;;;;;;;;;;;;;;237;241;202;195;225;261;263;237;230;242;2333;;;;;;;;;;;;;;;;;;;;;;;10;14;13;6;5;12;10;12;8;7;97;4.22;5.81;6.44;3.08;2.22;4.6;3.8;5.06;3.48;2.89;4.16;919;774;614;587;681;797;736;616;751;725;7200
410520 CERRO AZUL;320124.66;342613.67;350278.21;316914.74;326080.47;183865.28;140738.02;104782.01;387319.38;72523.27;2545239.71;;;;;;;;;;;;260858.56;302885.38;350278.21;316914.74;326080.47;183865.28;140738.02;104782.01;387319.38;72523.27;2446245.32;59266.1;39728.29;;;;;;;;;98994.39;;;;;;;;;;;;732;788;705;580;551;285;227;211;428;163;4670;;;;;;;;;;;;;;;;;;;;;;;623;715;705;580;551;285;227;211;428;163;4488;109;73;;;;;;;;;182;;;;;;;;;;;;2;15;14;7;12;16;4;7;34;5;116;0.27;1.9;1.99;1.21;2.18;5.61;1.76;3.32;7.94;3.07;2.48;2031;2458;2430;2046;1798;1106;658;559;1011;469;14566
410530 CEU AZUL;270833.93;339357.22;370293.79;365564.84;267982.94;333436.78;443141.37;424140.58;622121.06;912805.28;4349677.79;;;;;;;;;;;;217791.19;258823.69;262631.41;271342.07;232442.51;205903.44;198322.63;165074.39;548247.79;305720.03;2666299.15;53042.74;80533.53;107662.38;94222.77;35540.43;127533.34;244818.74;259066.19;73873.27;607085.25;1683378.64;;;;;;;;;;;;618;704;722;805;649;617;832;732;706;1265;7650;;;;;;;;;;;;;;;;;;;;;;;525;552;569;638;594;450;466;352;594;611;5351;93;152;153;167;55;167;366;380;112;654;2299;;;;;;;;;;;;4;15;20;20;18;28;30;28;53;21;237;0.65;2.13;2.77;2.48;2.77;4.54;3.61;3.83;7.51;1.66;3.1;1595;1775;1652;1926;1735;1500;1681;1460;3044;2679;19047
410540 CHOPINZINHO;1174329.72;1166396.1;1181476.45;1094883.81;1017034.92;1010902.49;1144541.79;1276009.16;2075398.73;3221167.22;14362140.39;;;;;;;;;;;;729630.76;740732.61;775500.54;778165.99;771465.85;634514.66;709016.14;1033863.35;1800341.53;2564749.95;10537981.38;444698.96;425663.49;405975.91;316717.82;245569.07;376387.83;435525.65;242145.81;275057.2;656417.27;3824159.01;;;;;;;;;;;;2123;2207;2110;1996;1892;1999;2360;1890;2530;2919;22026;;;;;;;;;;;;;;;;;;;;;;;1502;1599;1595;1604;1543;1427;1608;1499;2058;2031;16466;621;608;515;392;349;572;752;391;472;888;5560;;;;;;;;;;;;39;33;45;33;49;50;46;117;311;230;953;1.84;1.5;2.13;1.65;2.59;2.5;1.95;6.19;12.29;7.88;4.33;6850;6201;5956;6338;5815;5349;5785;5803;10427;9108;67632
410550 CIANORTE;4501108.12;4760315.65;5380953.5;6107105.19;5636360.98;5810049;6117037.76;6733196.26;9457572.02;8902203.09;63405901.57;;;121.68;;;;;;;;121.68;2867155.53;2767605.26;3097994.89;3644625.43;3044131.11;3056399.31;3093269.09;4220418.96;6506157.5;3938389;36236146.08;1631636.58;1984520.99;2271275.63;2408340.4;2554363.59;2708338.36;2988579.36;2499962.49;2923175.55;4896140.5;26866333.45;2316.01;8189.4;11561.3;54139.36;37866.28;45311.33;35189.31;12814.81;28238.97;67673.59;303300.36;7301;7308;7704;7446;7299;7086;7023;6740;6921;8736;73564;;;1;;;;;;;;1;;;1;;;;;;;;1;4686;4099;4086;3928;3760;3576;3342;3700;3338;3296;37811;2613;3204;3608;3477;3512;3471;3645;3029;3569;5402;35530;2;5;9;41;27;39;36;11;14;38;222;345;335;435;476;400;436;438;480;481;464;4290;4.73;4.58;5.65;6.39;5.48;6.15;6.24;7.12;6.95;5.31;5.83;19520;19392;20733;20016;19780;19435;19304;18677;20910;19846;197613
410560 CIDADE GAUCHA;351477.77;318273.01;370879.07;347510.47;299912.16;293683.53;283531;181361.05;281780.1;219916.58;2948324.74;;;;;;;;;;;;351477.77;318273.01;367422.92;346792.36;299912.16;293683.53;283531;181361.05;281780.1;219916.58;2944150.48;;;3456.15;718.11;;;;;;;4174.26;;;;;;;;;;;;718;649;741;689;596;588;577;431;480;549;6018;;;;;;;;;;;;;;;;;;;;;;;718;649;736;688;596;588;577;431;480;549;6012;;;5;1;;;;;;;6;;;;;;;;;;;;;1;;1;;2;;;4;;8;;0.15;;0.15;;0.34;;;0.83;;0.13;1571;1436;1596;1513;1291;1193;1167;920;1353;1666;13706
410570 CLEVELANDIA;552075.92;682562.51;594587.89;600914.28;610134.97;675574.79;812860.97;531974.76;575798.52;266698.77;5903183.38;;;;;;;;;;;;494738.29;515656.25;541200.45;543165.71;552347.25;570766.83;583082.98;527783.59;575798.52;266698.77;5171238.64;57337.63;166906.26;53387.44;57748.57;57787.72;104807.96;229777.99;4191.17;;;731944.74;;;;;;;;;;;;1044;1217;1041;1039;1038;1093;1251;767;678;524;9692;;;;;;;;;;;;;;;;;;;;;;;961;973;964;956;958;972;1010;761;678;524;8757;83;244;77;83;80;121;241;6;;;935;;;;;;;;;;;;20;13;21;23;24;10;8;10;28;24;181;1.92;1.07;2.02;2.21;2.31;0.91;0.64;1.3;4.13;4.58;1.87;2693;3339;2964;2906;2675;2776;3110;2167;2433;1582;26645
410580 COLOMBO;1808533.44;1662418.12;1696461.39;1658707.67;1758571.33;1835947.5;1787457.13;1626691.78;1375501.7;1691310.57;16901600.63;;;;;;;;;;;;1162059.84;1150409.66;1243578.01;1199055.17;1264198.79;1295944.02;1240499.87;929847.97;722634.21;786036.09;10994263.63;646473.6;512008.46;452883.38;459652.5;494372.54;540003.48;546957.26;696843.81;652867.49;905274.48;5907337;;;;;;;;;;;;3472;3232;3265;3240;3522;3654;3676;3648;2830;3701;34240;;;;;;;;;;;;;;;;;;;;;;;2356;2273;2427;2382;2568;2625;2586;2346;1724;2026;23313;1116;959;838;858;954;1029;1090;1302;1106;1675;10927;;;;;;;;;;;;2;3;4;5;1;6;;;1;;22;0.06;0.09;0.12;0.15;0.03;0.16;;;0.04;;0.06;8909;8943;9353;8658;9308;9317;9640;9693;6811;8387;89019
410590 COLORADO;1261950.68;1205933.4;1217907.39;1450820.22;1303648.75;1730159.39;2079202.35;3511004.32;9925307.73;5880975.79;29566910.02;;;;;;;;;;;;1049925.94;973347.16;994278.62;1031052.2;842476.33;1037514.19;918486.25;2492870.54;8522473.51;3623475.94;21485900.68;212024.74;232586.24;223628.77;419768.02;461172.42;692645.2;1160716.1;1018133.78;1402834.22;2252886.46;8076395.95;;;;;;;;;;4613.39;4613.39;2754;2841;2836;3130;2884;3978;4312;4031;4754;5358;36878;;;;;;;;;;;;;;;;;;;;;;;2368;2390;2435;2347;1990;2685;2130;2335;2584;2739;24003;386;451;401;783;894;1293;2182;1696;2170;2617;12873;;;;;;;;;;2;2;63;41;56;65;79;112;94;151;301;207;1169;2.29;1.44;1.97;2.08;2.74;2.82;2.18;3.75;6.33;3.86;3.17;9070;8704;8353;9278;8647;10419;10245;11084;16969;16105;108874
410600 CONGONHINHAS;89561.55;70733.87;29467.17;;;;;;;;189762.59;;;;;;;;;;;;89561.55;70733.87;29467.17;;;;;;;;189762.59;;;;;;;;;;;;;;;;;;;;;;;251;185;70;;;;;;;;506;;;;;;;;;;;;;;;;;;;;;;;251;185;70;;;;;;;;506;;;;;;;;;;;;;;;;;;;;;;;2;8;3;;;;;;;;13;0.8;4.32;4.29;;;;;;;;2.57;688;499;212;;;;;;;;1399
410610 CONSELHEIRO MAIRINCK;63009.31;59988.31;33424.93;5891.55;;;;;;;162314.1;;;;;;;;;;;;63009.31;59988.31;33424.93;5891.55;;;;;;;162314.1;;;;;;;;;;;;;;;;;;;;;;;151;163;114;20;;;;;;;448;;;;;;;;;;;;;;;;;;;;;;;151;163;114;20;;;;;;;448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;537;481;312;50;;;;;;;1380
410620 CONTENDA;57852.85;55211.84;92584.26;66693.03;87905.88;100287.12;69044.68;90456.64;182033.82;44900.79;846970.91;;;;;;;;;;;;57852.85;55211.84;92584.26;66693.03;87905.88;100287.12;69044.68;90456.64;182033.82;44900.79;846970.91;;;;;;;;;;;;;;;;;;;;;;;150;152;239;146;226;318;224;281;273;138;2147;;;;;;;;;;;;;;;;;;;;;;;150;152;239;146;226;318;224;281;273;138;2147;;;;;;;;;;;;;;;;;;;;;;;4;4;7;2;4;21;5;4;9;5;65;2.67;2.63;2.93;1.37;1.77;6.6;2.23;1.42;3.3;3.62;3.03;517;475;615;456;680;729;471;656;649;341;5589
410630 CORBELIA;983332.88;926374.09;876274.61;1129905.51;956964.62;1275264.5;1246105.14;813145.61;1508480.75;1245849.85;10961697.56;;;;;;;;;;;;642395.44;625510.27;593114.42;764036.38;726585.38;846040.02;937280.29;645487.29;840357.41;284202.61;6905009.51;340937.44;300863.82;283160.19;365869.13;230379.24;429224.48;308824.85;167658.32;668123.34;961647.24;4056688.05;;;;;;;;;;;;2055;1951;1648;1991;1735;1997;2355;1659;2278;2119;19788;;;;;;;;;;;;;;;;;;;;;;;1387;1335;1173;1470;1323;1370;1861;1354;1464;671;13408;668;616;475;521;412;627;494;305;814;1448;6380;;;;;;;;;;;;31;24;19;38;36;35;28;30;43;16;300;1.51;1.23;1.15;1.91;2.07;1.75;1.19;1.81;1.89;0.76;1.52;5279;5276;4686;5407;4445;4661;5167;3628;4879;3299;46727
410640 CORNELIO PROCOPIO;6161590.76;6017453.85;6102869.61;6027192.17;6312955.66;6002894.52;6212810.43;5935915.59;9074839.62;7776467.7;65624989.91;;;;;;;;;;;;4354714.4;4358716.91;4412841.5;4354968.81;4610826.55;4412319.48;4554623.77;4411912.5;7304133.1;6184939.98;48959997;1791880.95;1643306.41;1664477.41;1646934.27;1683767.57;1572536.89;1644132.98;1517242.56;1766877;1571162.26;16502318.3;14995.41;15430.53;25550.7;25289.09;18361.54;18038.15;14053.68;6760.53;3829.52;20365.46;162674.61;6015;5879;5860;6176;7016;7438;7404;6318;6491;7492;66089;;;;;;;;;;;;;;;;;;;;;;;4306;4351;4395;4419;5243;5584;5356;4487;4533;5728;48402;1702;1522;1453;1738;1755;1841;2029;1825;1954;1746;17565;7;6;12;19;18;13;19;6;4;18;122;354;389;435;430;476;495;482;437;599;453;4550;6.38;7.18;8.06;7.52;7.14;6.84;6.69;6.99;9.23;6.05;7.17;41799;40948;41866;40651;39990;37597;38496;29478;30588;36017;377430
410645 CORONEL DOMINGOS SOARES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410650 CORONEL VIVIDA;658224.5;474186.29;611756.24;534831.12;637303.88;646639.25;487271.29;453967.44;683457.81;812499.54;6000137.36;;;;;;;;;;;;482521.59;252793.82;418264.91;330310.74;428986.72;410073.77;330196.45;293754.12;540316.48;438508.32;3925726.92;175702.91;221392.47;193491.33;204520.38;208317.16;236565.48;157074.84;160213.32;143141.33;373991.22;2074410.44;;;;;;;;;;;;1417;1244;1622;1427;1571;1567;1167;1039;1026;1525;13605;;;;;;;;;;;;;;;;;;;;;;;1057;719;1117;963;1099;938;758;664;771;913;8999;360;525;505;464;472;629;409;375;255;612;4606;;;;;;;;;;;;34;25;27;29;38;27;28;25;47;42;322;2.4;2.01;1.66;2.03;2.42;1.72;2.4;2.41;4.58;2.75;2.37;3506;2465;3577;2759;3068;2655;2157;1917;3067;3354;28525
410655 CORUMBATAI DO SUL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410657 CRUZEIRO DO IGUACU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410660 CRUZEIRO DO OESTE;369744.05;443781.72;406244.14;395687.72;295080.02;358227.47;308224.79;213360.73;287256.32;318274.06;3395881.02;;;;;;;;;;;;178709;194102.75;224102.94;214953.26;135704.11;224296.59;174811.64;122437.11;176350.14;177737.61;1823205.15;191035.05;249678.97;182141.2;180734.46;159375.91;133930.88;133413.15;90923.62;110906.18;140536.45;1572675.87;;;;;;;;;;;;1335;1209;1143;1179;938;1068;914;699;659;820;9964;;;;;;;;;;;;;;;;;;;;;;;925;636;746;803;622;797;648;528;450;565;6720;410;573;397;376;316;271;266;171;209;255;3244;;;;;;;;;;;;16;17;18;19;7;34;20;17;32;14;194;1.2;1.41;1.57;1.61;0.75;3.18;2.19;2.43;4.86;1.71;1.95;2274;2486;2354;2493;1616;2209;1640;1177;1250;1363;18862
410670 CRUZEIRO DO SUL;52554.63;40795.03;54253.78;41437.87;46972.36;28162.12;27787.6;8972.25;35352.66;27206.74;363495.04;;;;;;;;;;;;32894.08;23919.13;39664.8;28542.08;32953.11;19126.44;27787.6;8972.25;35352.66;27206.74;276418.89;19660.55;16875.9;14588.98;12895.79;14019.25;9035.68;;;;;87076.15;;;;;;;;;;;;122;89;124;91;105;72;70;26;66;75;840;;;;;;;;;;;;;;;;;;;;;;;87;59;98;68;80;56;70;26;66;75;685;35;30;26;23;25;16;;;;;155;;;;;;;;;;;;;;;2;3;;6;;2;7;20;;;;2.2;2.86;;8.57;;3.03;9.33;2.38;297;242;356;232;275;163;224;54;255;322;2420
410680 CRUZ MACHADO;404619.87;403512.35;369480.59;317770.98;287830.18;212914.57;161285.68;129317.51;239421.64;229407.87;2755561.24;;;;;;;;;;;;237934.3;245293.87;236026.17;209688.5;198084.16;125727.63;119645.88;80804.09;169359.83;152451.05;1775015.48;166685.57;158218.48;133454.42;108082.48;89746.02;87186.94;41639.8;48513.42;70061.81;76956.82;980545.76;;;;;;;;;;;;913;950;892;747;739;525;454;291;450;640;6601;;;;;;;;;;;;;;;;;;;;;;;608;651;637;544;550;360;377;210;337;517;4791;305;299;255;203;189;165;77;81;113;123;1810;;;;;;;;;;;;23;27;23;34;17;17;31;13;24;18;227;2.52;2.84;2.58;4.55;2.3;3.24;6.83;4.47;5.33;2.81;3.44;2524;2883;2818;2459;2276;1755;1623;1362;1833;2277;21810
410685 CRUZMALTINA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410690 CURITIBA;257561692.8;266213247.6;273783019.9;287833579;293012589.6;314022998.6;317881252.5;334569857;520324440.4;393838356.7;3259041034;601074.17;599327.47;600944.09;864459.32;912398.73;1555864.75;1127134.06;591431.8;852497.42;856015.69;8561147.5;63999612.11;67075771.02;69159749.07;73350043.32;74336739.24;79669221.16;79505637.45;132978808.5;265869418.1;120337207.5;1026282207;165802208.2;171270510.5;173147035;178925843.1;180920804.4;192586482.4;199352382.5;163667522.3;208292219.8;223205134.5;1857170143;27158798.37;27267638.57;30875291.75;34693233.28;36842647.21;40211430.27;37896098.58;37332094.49;45310305.07;49439999.01;367027536.6;149860;148111;148739;151264;156240;168471;167577;133929;162614;172088;1558893;672;714;641;735;833;1347;1063;606;885;926;8422;672;714;641;735;833;1347;1063;606;885;926;8422;65128;66072;65244;66002;67947;74744;70961;67355;87239;80971;711663;80841;78458;79911;81596;84309;89189;92310;63375;71649;87271;808909;3219;2867;2943;2931;3151;3191;3243;2593;2841;2920;29899;4450;4720;4470;4768;4621;5132;5387;7127;12141;7690;60506;3.02;3.23;3.05;3.19;2.99;3.08;3.23;5.35;7.51;4.49;3.92;763701;751952;731013;731030;714845;756370;673337;635368;842483;797297;7397396
410700 CURIUVA;212582.49;106163.75;91469.55;68646.02;21478.04;33451.92;24317.84;;;;558109.61;;;;;;;;;;;;212582.49;106163.75;91469.55;68646.02;21478.04;33451.92;24317.84;;;;558109.61;;;;;;;;;;;;;;;;;;;;;;;494;280;241;158;53;70;59;;;;1355;;;;;;;;;;;;;;;;;;;;;;;494;280;241;158;53;70;59;;;;1355;;;;;;;;;;;;;;;;;;;;;;;1;4;6;6;1;;1;;;;19;0.2;1.43;2.49;3.8;1.89;;1.69;;;;1.4;760;594;794;459;133;235;199;;;;3174
410710 DIAMANTE DO NORTE;75238.34;39290.56;37999.15;48575.69;26580.66;27727.3;23644.14;9708.62;39318.41;13425.18;341508.05;;;;;;;;;;;;56614.42;39290.56;37999.15;48575.69;26580.66;27727.3;23644.14;9708.62;39318.41;13425.18;322884.13;18623.92;;;;;;;;;;18623.92;;;;;;;;;;;;174;126;107;160;106;123;98;43;75;65;1077;;;;;;;;;;;;;;;;;;;;;;;145;126;107;160;106;123;98;43;75;65;1048;29;;;;;;;;;;29;;;;;;;;;;;;5;6;6;12;10;10;13;11;12;12;97;2.87;4.76;5.61;7.5;9.43;8.13;13.27;25.58;16;18.46;9.01;513;380;286;370;394;468;315;171;284;180;3361
410712 DIAMANTE DO SUL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410715 DIAMANTE D'OESTE;84758.79;75369.27;67565.97;71787.17;86683.32;69100.86;51767.36;48982.36;60418.13;9905.32;626338.55;;;;;;;;;;;;81942.14;71442.16;65315.05;48985.08;81381.7;68539.13;51767.36;48982.36;60418.13;9905.32;588678.43;2816.65;3927.11;2250.92;22802.09;5301.62;561.73;;;;;37660.12;;;;;;;;;;;;209;199;170;175;201;150;116;91;56;11;1378;;;;;;;;;;;;;;;;;;;;;;;204;192;166;128;195;149;116;91;56;11;1308;5;7;4;47;6;1;;;;;70;;;;;;;;;;;;;;;;1;3;1;3;4;1;13;;;;;0.5;2;0.86;3.3;7.14;9.09;0.94;669;546;402;407;532;452;491;325;212;39;4075
410720 DOIS VIZINHOS;1577174.74;1676637.93;1835564.94;1723762.79;1753922.75;1745450.07;1879276.6;2137270.77;2692073.01;1959992.27;18981125.87;;;;;;;;;;;;1381479.68;1456620.21;1549380.11;1397297.91;1281587.87;1254818.82;1227990.41;1439010.48;1888111;904206.74;13780503.23;195695.06;220017.72;286184.83;326464.88;472334.88;490631.25;651286.19;698260.29;803962.01;1055785.53;5200622.64;;;;;;;;;;;;2957;3039;3209;3204;3409;3474;3420;3348;3197;3626;32883;;;;;;;;;;;;;;;;;;;;;;;2608;2678;2776;2675;2631;2649;2604;2555;2233;2080;25489;349;361;433;529;778;825;816;793;964;1546;7394;;;;;;;;;;;;49;73;74;79;81;94;70;80;138;90;828;1.66;2.4;2.31;2.47;2.38;2.71;2.05;2.39;4.32;2.48;2.52;8998;9410;10019;9870;9998;9663;9669;9786;9515;6985;93913
410725 DOURADINA;390394.14;376696.67;333934.56;117335.57;;;;;;;1218360.94;;;;;;;;;;;;389589.12;373843.84;333934.56;117335.57;;;;;;;1214703.09;805.02;2852.83;;;;;;;;;3657.85;;;;;;;;;;;;877;913;853;348;;;;;;;2991;;;;;;;;;;;;;;;;;;;;;;;875;907;853;348;;;;;;;2983;2;6;;;;;;;;;8;;;;;;;;;;;;32;28;15;5;;;;;;;80;3.65;3.07;1.76;1.44;;;;;;;2.67;2945;2987;2481;869;;;;;;;9282
410730 DOUTOR CAMARGO;123691.97;117380.61;94429.68;40192.33;;;;;;;375694.59;;;;;;;;;;;;123691.97;117380.61;94429.68;40192.33;;;;;;;375694.59;;;;;;;;;;;;;;;;;;;;;;;314;320;289;123;;;;;;;1046;;;;;;;;;;;;;;;;;;;;;;;314;320;289;123;;;;;;;1046;;;;;;;;;;;;;;;;;;;;;;;3;1;1;2;;;;;;;7;0.96;0.31;0.35;1.63;;;;;;;0.67;1095;1067;828;312;;;;;;;3302
410740 ENEAS MARQUES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410750 ENGENHEIRO BELTRAO;595423.18;568160.4;533037.21;559980.35;462219.47;478388.23;484130.72;360184.75;595899.29;613317.4;5250741;;;;;;;;;;;;512705.63;489573.42;435045.49;398510.51;347566.78;349354.31;331720.63;271634.04;463580.51;440358.91;4040050.23;82717.55;78586.98;97991.72;161469.84;114652.69;129033.92;152410.09;88550.71;132318.78;172958.49;1210690.77;;;;;;;;;;;;1344;1325;1257;1331;1136;1225;1274;907;1084;1457;12340;;;;;;;;;;;;;;;;;;;;;;;1192;1176;1084;1009;912;954;961;744;869;1147;10048;152;149;173;322;224;271;313;163;215;310;2292;;;;;;;;;;;;27;33;29;20;15;9;16;20;33;26;228;2.01;2.49;2.31;1.5;1.32;0.73;1.26;2.21;3.04;1.78;1.85;3306;3121;2996;3253;2769;2958;2880;2001;2933;3505;29722
410752 ESPERANCA NOVA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410753 ENTRE RIOS DO OESTE;101751.38;109049.55;148464.31;260813.91;302367.76;269586.51;168138.22;136404.85;209715.07;136363.4;1842654.96;;;;;;;;;;;;101120.47;107128.92;148464.31;256831.66;300364.39;268712.78;168138.22;136238.86;209715.07;136363.4;1833078.08;630.91;1920.63;;3982.25;2003.37;873.73;;165.99;;;9576.88;;;;;;;;;;;;227;243;314;547;684;582;376;317;442;237;3969;;;;;;;;;;;;;;;;;;;;;;;226;240;314;540;679;580;376;316;442;237;3950;1;3;;7;5;2;;1;;;19;;;;;;;;;;;;2;;;2;7;5;2;;5;;23;0.88;;;0.37;1.02;0.86;0.53;;1.13;;0.58;502;517;722;1363;1525;1256;848;695;1032;601;9061
410754 ESPIGAO ALTO DO IGUACU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410755 FAROL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410760 FAXINAL;352547.41;261311.92;212379.93;230175.57;326679.29;245505.94;41845.63;;;1061905.25;2732350.94;;;;;;;;;;;;312042.36;210788.98;159618.09;169225.53;234043.9;160066.03;41845.63;;;321744.13;1609374.65;40505.05;50522.94;52761.84;60950.04;92635.39;85439.91;;;;740161.12;1122976.29;;;;;;;;;;;;759;586;509;598;799;602;109;;;1260;5222;;;;;;;;;;;;;;;;;;;;;;;684;491;411;479;622;424;109;;;486;3706;75;95;98;119;177;178;;;;774;1516;;;;;;;;;;;;2;;;5;7;12;2;;;21;49;0.26;;;0.84;0.88;1.99;1.83;;;1.67;0.94;2388;1688;1527;1381;1761;1452;257;;;3276;13730
